period,통영,거제,남해
2020-12-28,12.66657,5.28729,14.07078
2021-01-04,10.11606,4.28428,11.67072
2021-01-11,13.20389,6.82762,15.91918
2021-01-18,14.59378,7.88078,18.77059
2021-01-25,16.78607,8.48975,21.79395
2021-02-01,16.83622,8.94827,24.98925
2021-02-08,19.02134,9.30649,27.63289
2021-02-15,20.06734,9.71485,28.76486
2021-02-22,25.02507,12.00745,33.57214
2021-03-01,15.91202,8.08138,26.0639
2021-03-08,19.19329,10.42412,28.60725
2021-03-15,19.1718,10.11606,29.68906
2021-03-22,19.09299,9.83665,30.36251
2021-03-29,18.41237,9.24201,31.05745
2021-04-05,22.21664,11.47012,33.68677
2021-04-12,22.45307,11.94297,36.03668
2021-04-19,23.68534,12.40149,35.29875
2021-04-26,26.70869,14.18541,37.36208
2021-05-03,27.76902,14.04212,34.56798
2021-05-10,21.98022,12.29402,32.51898
2021-05-17,23.37727,13.6051,33.29989
2021-05-24,23.36294,13.59793,33.11362
2021-05-31,24.89611,14.60811,37.73463
2021-06-07,29.06576,16.16993,43.13655
2021-06-14,33.05631,19.8739,51.76959
2021-06-21,36.03668,22.19515,56.5697
2021-06-28,34.08797,20.34675,52.2496
2021-07-05,33.95185,19.9742,50.05015
2021-07-12,34.17395,21.11334,47.27754
2021-07-19,32.92018,20.21779,47.68591
2021-07-26,40.07021,23.95758,56.20432
2021-08-02,40.28514,23.20533,55.9679
2021-08-09,34.74709,19.3724,46.25304
2021-08-16,27.87648,15.26723,34.4247
2021-08-23,25.27582,13.71973,29.98996
2021-08-30,23.40593,12.10775,29.85384
2021-09-06,24.20833,11.46296,29.14457
2021-09-13,24.82447,13.41882,29.38816
2021-09-20,26.75168,14.24989,31.26522
2021-09-27,29.5601,16.11978,36.13698
2021-10-04,33.65095,17.38787,37.93523
2021-10-11,23.56354,11.70654,27.36781
2021-10-18,23.0907,12.16506,30.69207
2021-10-25,22.66083,10.99011,29.80369
2021-11-01,25.50508,11.92147,29.55294
2021-11-08,24.12236,11.05459,28.94397
2021-11-15,22.48889,10.7107,28.07708
2021-11-22,21.21364,10.13755,26.94512
2021-11-29,19.91689,10.07307,27.59707
2021-12-06,19.53001,10.33099,27.32483
2021-12-13,18.37655,9.12021,24.18684
2021-12-20,20.23928,10.93996,26.57257
2021-12-27,21.31394,11.99312,30.23355
2022-01-03,21.5217,11.82117,31.58045
2022-01-10,25.31164,12.81702,33.17094
2022-01-17,22.67516,12.73821,32.88436
2022-01-24,24.22266,12.27253,33.88021
2022-01-31,21.5217,11.81401,32.61212
2022-02-07,18.01834,11.19787,31.17925
2022-02-14,20.18197,11.99312,36.50952
2022-02-21,23.02622,13.21106,41.47442
2022-02-28,18.06849,11.7352,38.42957
2022-03-07,17.58131,11.14056,38.93824
2022-03-14,18.68462,12.20088,39.48273
2022-03-21,19.36523,12.72388,47.70024
2022-03-28,21.04169,12.89583,53.03768
2022-04-04,25.66986,14.66542,52.90156
2022-04-11,27.90514,15.91918,51.97019
2022-04-18,29.2592,16.93652,57.82347
2022-04-25,31.18641,16.63562,62.1579
2022-05-02,32.20375,18.80641,65.49648
2022-05-09,26.9881,15.83321,58.50408
2022-05-16,28.94397,15.51798,62.50895
2022-05-23,29.8825,18.36222,67.60997
2022-05-30,38.63734,21.75096,80.87118
2022-06-06,29.27353,17.63863,67.55265
2022-06-13,30.36968,17.57415,64.62243
2022-06-20,32.09628,17.54549,62.40149
2022-06-27,33.05631,19.16463,66.7001
2022-07-04,37.5197,20.74795,69.31508
2022-07-11,39.71199,22.27396,72.54621
